學年度,學期,課程大類,標籤描述,課程名稱,科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
111,1,體育,🎓 專題/論文,體育實習6(足球),外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,多文化間交流論4,外校大學課程,日間部,1.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,多文化間交流論3,外校大學課程,日間部,1.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,日本文化入門2,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,日文4-6,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,日文4-4,外校大學課程,日間部,4.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,日文4-2,外校大學課程,日間部,4.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,多元文化交流,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,文化與社會探索,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,文化理解,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,特殊國際議題,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,宗教研究,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,宗教學,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,管理策略,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,日本經濟,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,Web 3.0 - 去中心化互聯網,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,數字貨幣介紹,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,領導和改變管理,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,專案管理,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,全球供應鏈管理,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,跨國企業管理,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
