序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
1,N1013,產業學士班,基礎程式設計(C++),,自由選修,,否,3,黃駿賢,,,25,4,10,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週一 9:00-12:00上課地點：經世館32101同步考試時間期中考10/20 與 期末考12/15 9:00-12:00，同學務必保留時間參與考試。主授教師：温宏斌(陽明交通大學),Introduction to Programming (C++),中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/N1013_1OTIN0103330.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=0001199
2,N1012,產業碩士班,生成式AI：文字與圖像生成的原理與實務,,自由選修,,否,3,周咏蒨,,,20,4,5,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週二 16:00-19:00上課地點：電五教室主授教師：蔡炎龍(政治大學),Generative AI：Text and Image Synthesis Principles and Pracice,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=0001217
3,N1011,產業碩士班,電腦視覺實務與深度學習,,自由選修,,否,3,黃耀賢,,,50,1,3,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週五 9:10-12:10上課地點：經世館32101主授教師：鄭文皇(臺灣大學),Computer Vision Practice with Deep Learning,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=0001177
4,N1010,產業學士班,生成式人工智慧與機器學習導論,,自由選修,,否,3,校際教師,,,20,9,15,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：9/12、9/19、9/26、10/17、10/24、10/31、11/14、11/28、12/12、12/19 14:20-17:20主授教師：李宏毅(臺灣大學),Introduction to Generative Artificial Intelligence and Machine Learning,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=P000011
5,N1009,產業學士班,人工智慧導論,,自由選修,,否,3,校際教師,,,50,1,2,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週四 13:10-16:00同步考試時間(電一教室)12/11 13:10-16:00(此時段無法應考的學生請勿修課)主授教師：朱威達(成功大學)「本課程網路選課人數未達開課人數，請洽開課單位。」,Introduction to Artificial Intelligence,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=P000011
6,N1007,產業碩士班,自然語言處理,,自由選修,,否,3,校際教師,,,50,1,3,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週二13:20-15:10 & 每週四13:20-14:10主授教師：高宏宇(清華大學),Natural Language Processing,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=P000011
7,N1006,產業碩士班,智慧人機互動,,自由選修,,否,3,校際教師,,,50,1,1,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週四 13:10-16:00同步考試時間12/27(六)共同展示交流期末成果主授教師：韓秉軒(臺北科技大學)「本課程網路選課人數未達開課人數，請洽開課單位。」,Human-AI Interaction,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=P000011
8,N1005,產業碩士班,資料探勘與應用,,自由選修,,是,3,校際教師,,,50,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週一 9:00-12:00同步考試時間(電四教室)12/8 9:00-12:00(此時段無法應考的學生請勿修課)主授教師：陳宜欣(清華大學)「本課程網路選課人數未達開課人數，請洽開課單位。」,"Data Mining : Concepts, Techniques, and Applications",無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=P000011
9,N1004,產業碩士班,品質管理概論,,產業選修,,否,3,羅志成,白沙大樓,(四) 05-07 合班教室1,20,0,2,限本班,產業學院育才專班-矽品公司「本課程網路選課人數未達開課人數，請洽開課單位。」,Introduction to Quality Management,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/N1004_0OTIN2100630.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=0000945
10,N1003,產業學士班,品質管理概論,,產業選修,,否,3,羅志成,圖書館,(四) 05-07 電四教室,50,0,3,限本班,產業學院育才專班-矽品公司「本課程網路選課人數未達開課人數，請洽開課單位。」,Introduction to Quality Management,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/N1003_0OTIN0100530.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=1&emp_id=0000945
