序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
1,N1010,產業碩士班,深度學習,,自由選修,,否,3,校際教師,,,25,0,2,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課位置)上課時間：每週四 12:20-15:10 同步期末考試:5/29 12:20-15:10主授教師:彭文孝、陳永昇、謝秉均(陽明交通大學),Deep Learning,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
2,N1009,產業碩士班,機器導航與探索,,自由選修,,否,3,周咏蒨,,,40,0,4,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週一晚上6:30~9:20上課地點：工學院EB211主授教師:胡敏君(清華大學),Robotic Navigation and Exploration,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=4000085
3,N1008,產業碩士班,生成式AI：文字與圖像生成的原理與實務,,自由選修,,否,3,劉儼毅,,,20,3,8,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週二 16:00-19:00上課地點：電五教室主授教師:蔡炎龍(政治大學),Generative AI：Text and Image Synthesis Principles and Pracice,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=0001174
4,N1006,產業學士班,機率與統計,,自由選修,,否,3,校際教師,,,50,4,5,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課位置)上課時間：同步上課時間2/20 20:00-22:003/6、3/20、4/10、5/1、5/15、6/5 20:00-21:00同步考試時間(電五教室)4/17、6/12 14:30-17:30主授教師:葉丙成(臺灣大學),Probability and Statistics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
5,N1005,產業學士班,人工智慧倫理,,自由選修,,否,3,王朝興,,,47,3,28,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週三 15:20-18:10 (同步考試時間:4/16)上課地點：教學一館33204主授教師：甘偵蓉(東海大學),AI Ethics,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1005_1OTIN0102530.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=0000765
6,N1004,產業碩士班,問題決策概論,,產業選修,,否,3,羅志成,白沙大樓,(四) 10-12 合班教室4,20,0,4,限本班,產業學院育才專班-矽品公司-大碩合班。「本課程網路選課人數未達開課人數，請洽開課單位。」,Introduction to Problem Solving and Decision Making,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1004_0OTIN2100830.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=0000945
7,N1003,產業學士班,問題決策概論,,產業選修,,否,3,羅志成,教學大樓,(四) 10-12 T302,50,0,3,限本班,產業學院育才專班-矽品公司-大碩合班。「本課程網路選課人數未達開課人數，請洽開課單位。」,Introduction to Problem Solving and Decision Making,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1003_0OTIN0100730.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=0000945
8,N1002,產業碩士班,半導體產業實務,,產業必修,,否,3,林祐仲,白沙大樓,(五) 02-04 合班教室4,20,0,13,限本班,產業學院育才專班-矽品公司-大碩合班。,Semiconductor Industry Practice,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1002_0OTIN2101030.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=0000831
9,N1001,產業學士班,半導體產業實務,,產業必修,,否,3,林祐仲,教學大樓,(五) 02-04 T302,50,0,12,限本班,產業學院育才專班-矽品公司-大碩合班。,Semiconductor Industry Practice,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1001_0OTIN0100930.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=0000831
10,ML003,語文課,中級文學閱讀欣賞(二),,語文選修,,否,3,劉培伃,語文中心,(二) 06-08 LC202,50,0,19,可跨班系,Only for international students. Please visit the website to know more. http://lcch.ncue.edu.tw/curriculum_credit?lang=en,Intermediate Appreciation and Practice of Literature II,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/ML003_0CCML0109230.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=9901185
11,ML002,語文課,初級華語語法(二),,語文選修,,否,3,劉培伃,語文中心,(四) 06-08 LC202,50,0,11,可跨班系,Only for international students. Please visit the website to know more. http://lcch.ncue.edu.tw/curriculum_credit?lang=en,Elementary Chinese Grammar II,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/ML002_0CCML0108230.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=9901185
12,ML001,語文課,基礎發音與會話(二),,語文選修,,否,3,周芷瑄,語文中心,(四) 02-04 LC202,50,0,23,可跨班系,Only for international students. Please visit the website to know more. http://lcch.ncue.edu.tw/curriculum_credit?lang=en,Basic Pronunciation and Conversation II,中英,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/ML001_0CCML0108830.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=9901115
13,800L4,日外校大學,海外華語教學實習,,自由選修,,否,0,校際教師,,,1,0,1,限本班,全球華語AI計畫,Overseas Teaching Internship in Mandarin,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
14,800L3,日外校大學,德語,,自由選修,,否,5,校際教師,,,50,0,1,限本班,開姆尼茨工業大學Technische Universität Chemnitz,German A1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
15,800L2,日外校大學,德語與地域研究,,自由選修,,否,4,校際教師,,,50,0,1,限本班,開姆尼茨工業大學Technische Universität Chemnitz,SLK-course Deutsch A1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
16,800L1,日外校大學,電力電子學,,自由選修,,否,6,校際教師,,,50,0,1,限本班,開姆尼茨工業大學Technische Universität Chemnitz,Reliability and robustness of power electronic systems,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
17,800K9,日外校碩士班,機器學習與人工智能導論,,自由選修,,否,2.5,校際教師,,,20,0,1,限本班,加州大學爾灣分校,I&C SCI X426.73 Introduction to Machine Learning & AI,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
18,800K8,日外校碩士班,人類壓力,,自由選修,,否,4,校際教師,,,20,0,1,限本班,加州大學爾灣分校,Human Stress PSCI 137H,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
19,800K7,日外校碩士班,系統設計原則,,自由選修,,否,6,校際教師,,,20,0,1,限本班,加州大學爾灣分校,Princp in Sys Desgn I&C SCI 53,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
20,800K6,日外校碩士班,全球創新,,自由選修,,否,4,校際教師,,,20,0,1,限本班,加州大學爾灣分校,World: Innovations History 21A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
21,800K5,日外校碩士班,超大型積體電路系統設計,,自由選修,,否,4,校際教師,,,20,0,1,限本班,加州大學爾灣分校,VLSI System Design,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
22,800K4,日外校碩士班,數位邏輯實驗導論,,自由選修,,否,3,校際教師,,,20,0,1,限本班,加州大學爾灣分校,Intro Dig Logic Lab,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
23,800K3,日外校碩士班,工程機率,,自由選修,,否,4,校際教師,,,20,0,1,限本班,加州大學爾灣分校,Engr Probability,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
24,800K2,日外校大學,英會話 II,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本-福岡教育大學,English Conversation II,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
25,800K1,日外校大學,日語(聽說)2D,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language (Listening & Speaking) 2D,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
26,800J9,日外校大學,日語(大學生聽解)2C,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language (University Listening Comprehension) 2C,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
27,800J8,日外校大學,日語(溝通)2B,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language (Communication) 2B,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
28,800J7,日外校大學,日語(讀寫)2A,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language (Reading & Writing) 2A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
29,800J6,日外校大學,多文化間心理學,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Multi-Cultural Psychology,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
30,800J5,日外校大學,工業企業管理,,自由選修,,否,2,校際教師,,,50,0,1,限本班,四川大學,Industrial Enterprise Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
31,800J4,日外校大學,犯罪心理學,,自由選修,,否,2,校際教師,,,50,0,1,限本班,四川大學,Criminal Psychology,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
32,800J3,日外校大學,花卉學,,自由選修,,否,2,校際教師,,,50,0,1,限本班,四川大學,Floriculture,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
33,800J2,日外校大學,電腦網路,,自由選修,,否,2,校際教師,,,50,0,1,限本班,東北師範大學,Computer Network,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
34,800J1,日外校大學,知識表示與處理,,自由選修,,否,2,校際教師,,,50,0,1,限本班,東北師範大學,System Analysis & Network,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
35,800I9,日外校大學,物質科學A,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本新潟大學,Molecular Science A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
36,800I8,日外校大學,無機化學 III,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本新潟大學,Inorganic Chemistry III,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
37,800I7,日外校大學,無機化學實驗,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本新潟大學,Inorganic Chemistry Laboratory,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
38,800I6,日外校大學,化學熱力學,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本新潟大學,Chemical Thermodynamics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
39,800I5,日外校大學,無機化學 I,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本新潟大學,Inorganic Chemistry I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
40,800I4,日外校大學,日語閱讀 VI,,自由選修,,否,1,校際教師,,,50,0,1,限本班,日本新潟大學,Japanese Reading VI,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
41,800I3,日外校大學,日語閱讀 I,,自由選修,,否,1,校際教師,,,50,0,1,限本班,日本新潟大學,Japanese Reading I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
42,800I2,日外校大學,地域言語文化(美國),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Regional Language and Culture (U.S.),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
43,800I1,日外校大學,英語聽講,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Speech & Communication,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
44,800H9,日外校大學,日本語(聽說)1D,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Listening & Speaking 1D,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
45,800H8,日外校大學,日本語大學生的聽講1C,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Listening Comprehension 1C,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
46,800H7,日外校大學,法文(一),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,French I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=113&yms_sms=2&emp_id=P000011
