序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
34,800I5,日外校碩士班,日本語 I,,自由選修,,否,1,校際教師,,,20,0,1,限本班,愛知教育大學,J Japanese I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
35,800I4,日外校碩士班,初等家庭科教育內容,,自由選修,,否,1,校際教師,,,20,0,1,限本班,愛知教育大學,Elementary Home Economics Education Content A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
36,800I3,日外校碩士班,初等音樂科教育內容,,自由選修,,否,1,校際教師,,,20,0,1,限本班,愛知教育大學,Elementary Music Education Content A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
37,800I2,日外校大學,日本語I,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本愛知教育大學,Japanese I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
38,800I1,日外校大學,中等理科教育法CII,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本愛知教育大學,Teaching Methodologies of Science for Secondary Education CII,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
39,800H9,日外校大學,初等音樂教育內容A,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本愛知教育大學,Teaching Matters of Music for Primary Education A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
40,800H8,日外校大學,人力資源管理,,自由選修,,否,4,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,Human Resource Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
41,800H7,日外校大學,人類壓力,,自由選修,,否,4,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,Human Stress,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
42,800H6,日外校大學,音樂心理,,自由選修,,否,4,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,Psychology of Music,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
43,800H5,日外校大學,文化心理,,自由選修,,否,4,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,Cultural Psychology,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
44,800H4,日外校大學,社會動物,,自由選修,,否,4,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,The Social Animal,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
45,800H3,日外校大學,語言科學的實驗研究,,自由選修,,否,4,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,Experimental Research in Language Science,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
46,800H2,日外校大學,德文會話,,自由選修,,否,2,校際教師,,,50,0,1,限本班,Fachhochschule Dortmund,German Communications Skills I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
47,800H1,日外校大學,專案管理,,自由選修,,否,2,校際教師,,,50,0,1,限本班,Fachhochschule Dortmund,Project Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
48,800G9,日外校大學,風險管理,,自由選修,,否,2,校際教師,,,50,0,1,限本班,Fachhochschule Dortmund,Risk Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
49,800G8,日外校大學,圖像中的法國歷史與文化,,自由選修,,否,2,校際教師,,,1,0,1,限本班,華東師範大學,French History and Culture in Images,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
50,800G7,日外校大學,中越關係史,,自由選修,,否,2,校際教師,,,1,0,1,限本班,華東師範大學,History of China-Vietnam Relations,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
51,800G6,日外校大學,南亞史,,自由選修,,否,2,校際教師,,,1,0,1,限本班,華東師範大學,South Asian History,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
52,800G5,日外校大學,世界中世紀史,,自由選修,,否,2,校際教師,,,1,0,1,限本班,華東師範大學,World Medieval History,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
53,800G4,日外校大學,外國史學史,,自由選修,,否,2,校際教師,,,1,0,1,限本班,華東師範大學,History of Foreign Historiography,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
54,800G3,日外校大學,人力資源管理,,自由選修,,否,3,校際教師,,,1,0,0,限本班,美國-加州大學爾灣分校,Human Resource Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
55,800G2,日外校大學,全球英語文化,,自由選修,,否,2.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Global Anglophone Culture,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
56,800G1,日外校大學,文化智力,,自由選修,,否,2.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Cultural Intelligence,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
57,800F9,日外校大學,基礎捷克文二,,自由選修,,否,2.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Basic Czech 2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
58,800F8,日外校大學,藝術攝影,,自由選修,,否,2.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Artistic Photography,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
59,800F7,日外校大學,免疫學,,自由選修,,否,3,校際教師,,,1,0,1,限本班,中國四川大學,Immunology,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
60,800F6,日外校大學,植物系統分類,,自由選修,,否,2,校際教師,,,1,0,1,限本班,中國四川大學,Systematic Taxonomy of Botany,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
61,800F5,日外校大學,動物系統分類,,自由選修,,否,2,校際教師,,,1,0,1,限本班,中國四川大學,Systematic Taxonomy of Zoology,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
62,800F4,日外校大學,德語溝通技巧,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,Fachhochschule Dortmund,German Communication Skills,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
63,800F3,日外校大學,專案管理,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,Fachhochschule Dortmund,Project Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
64,800F2,日外校大學,風險管理,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,Fachhochschule Dortmund,Risk Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
65,800F1,日外校大學,高級韓語,,自由選修,,否,3,校際教師,,,1,0,1,限本班,University of Seoul,Advanced Korean Language,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
66,800E9,日外校大學,中級韓語2,,自由選修,,否,3,校際教師,,,1,0,1,限本班,University of Seoul,Intermediate Korean Language 2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
67,800E8,日外校大學,語言學導論,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Introduction to Linguistics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
68,800E7,日外校大學,中級德文,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,German Language Course (Intermediate),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
69,800E6,日外校大學,中級德文密集課,,自由選修,,否,4.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,German Intensive Language Course for Intermediate,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
70,800E5,日外校大學,韓文發音與應用,,自由選修,,否,3,校際教師,,,1,0,1,限本班,University of Seoul,Pronunciation of Korean and its Application,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
71,800E4,日外校大學,進階韓文,,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul,Advanced Korean Language,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
72,800E3,日外校大學,統計學(一),,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul,Statistical Thinking,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
73,800E2,日外校大學,模擬遊戲,,自由選修,,否,3,校際教師,,,50,0,1,限本班,,Simulation Game,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
74,800E1,日外校大學,國際行銷,,自由選修,,否,3,校際教師,,,50,0,1,限本班,Reutlingen University,International Marketing,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
75,800D9,日外校大學,德語 A1.2,,自由選修,,否,2,校際教師,,,50,0,1,限本班,Reutlingen University,"Deutsch, Niveau A1.2",無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
76,800D8,日外校大學,日語教育I-A,,自由選修,,否,2,校際教師,,,1,0,1,限本班,新瀉大學,Teaching Japanese I-A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
77,800D7,日外校大學,量子力學IB,,自由選修,,否,2,校際教師,,,1,0,1,限本班,新瀉大學,Quantum Mechanics IB,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
78,800D6,日外校大學,量子力學IA,,自由選修,,否,2,校際教師,,,1,0,1,限本班,新瀉大學,Quantum Mechanics IA,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
79,800D5,日外校大學,商用日文,,自由選修,,否,2,校際教師,,,1,0,1,限本班,新瀉大學,Business Japanese,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
80,800D4,日外校大學,日語閱讀理解V,,自由選修,,否,1,校際教師,,,1,0,1,限本班,新瀉大學,Japanese Reading Comprehension V,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
81,800D3,日外校大學,用英語講授日文文法b,,自由選修,,否,1,校際教師,,,1,0,1,限本班,新瀉大學,Lecture on Japanese Grammar in English b,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
82,800D2,日外校大學,用英語講授日文文法a,,自由選修,,否,1,校際教師,,,1,0,1,限本班,新瀉大學,Lecture on Japanese Grammar in English a,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
83,800D1,日外校大學,日本酒學A,,自由選修,,否,2,校際教師,,,1,0,1,限本班,新瀉大學,Sakeology A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
84,800C9,日外校大學,語言學緒論,,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Introduction to Linguistics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
85,800C8,日外校大學,德文密集課程(中級),,自由選修,,否,4,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Intensivsprachkurs Deutsch als Fremdsprache Mittelstufe,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
86,800C7,日外校大學,應用英文,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Practical Language 3,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
87,800C6,日外校大學,法政外交英文,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Contemporary International System,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
88,800C5,日外校大學,初級捷克語,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Basic Czech 1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
89,800C4,日外校大學,高級韓文,,自由選修,,否,3,校際教師,,,50,0,2,限本班,University of Seoul,Advanced Korean Language,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
90,800C3,日外校大學,體育(一),,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul,Lifetime Physical Activity I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
91,800C2,日外校大學,人力資源管理,,自由選修,,否,5,校際教師,,,1,0,1,限本班,德國-多特蒙德應用科技大學,"HRM-Core Concepts, Methods&Tools",無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
92,800C1,日外校大學,德語溝通技巧,,自由選修,,否,5,校際教師,,,1,0,1,限本班,德國-多特蒙德應用科技大學,German Communication Skills,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
93,800B9,日外校大學,數位商務,,自由選修,,否,5,校際教師,,,1,0,1,限本班,德國-多特蒙德應用科技大學,Digital Business,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
94,800B8,日外校大學,專案管理,,自由選修,,否,5,校際教師,,,1,0,1,限本班,德國-多特蒙德應用科技大學,Project Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
95,800B7,日外校大學,德文 (二),,自由選修,,否,5,校際教師,,,1,0,1,限本班,,Deutsch als Fremdsprache II (Niveau A2),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
96,800B6,日外校大學,組織管理,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,,Managing Organizations,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
97,800B5,日外校大學,國際經濟,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,,International Economics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
98,800B4,日外校大學,德語 A2.2,,自由選修,,否,2,校際教師,,,50,0,1,限本班,,"Deutsch, Grundstufe 2 (GER A2.2)",無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
99,800B2,日外校大學,服務學習-跨文化學習與體驗,,自由選修,,否,1,校際教師,,,50,0,1,限本班,,Service Learning - Interkulturelles Lernen und Erleben,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
