序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
1,N1004,產業碩士班,問題決策概論,,產業必修,,否,3,林宗岐,白沙大樓,(三) 09-11 合班教室1,30,0,11,限本班,產業學院育才專班-矽品公司-大碩合班，教室T203，請見課程代碼N1003,Introduction to Problem Solving and Decision Making,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/N1004_0OTIN2100830.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=0000849
2,N1003,產業學士班,問題決策概論,,產業必修,,否,3,林宗岐,教學大樓,(三) 09-11 T203,30,0,2,限本班,產業學院育才專班-矽品公司-大碩合班「本課程網路選課人數未達開課人數，請洽開課單位。」,Introduction to Problem Solving and Decision Making,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/N1003_0OTIN0100730.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=0000849
3,N1002,產業碩士班,半導體基礎概論認證課程 2,,產業必修,,否,2,林祐仲,白沙大樓,(三) 03-04 合班教室1,20,0,11,限本班,產業學院育才專班-矽品公司-大碩合班，教室T201，請見課程代碼N1001。,Semiconductor Fundamentals and Introduction Certification Course 2,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/N1002_0OTIN2100420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=0000831
4,N1001,產業學士班,半導體基礎概論認證課程 2,,產業必修,,否,2,林祐仲,教學大樓,(三) 03-04 T201,50,0,4,限本班,產業學院育才專班-矽品公司-大碩合班「本課程網路選課人數未達開課人數，請洽開課單位。」,Semiconductor Fundamentals and Introduction Certification Course 2,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/N1001_0OTIN0100320.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=0000831
5,ML003,語文課,中級商務華語(二),,語文選修,,否,3,黃柔溱,語文中心,(三) 05-07 LC202,50,0,11,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, oversea Chinese students and exchange students",Intermediate Business Chinese II,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/ML003_0CCML0107830.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=9901052
6,ML002,語文課,初級文化華語(二),,語文選修,,否,3,劉培伃,語文中心,(五) 02-04 LC401,50,0,10,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, oversea Chinese students and exchange students",Elementary Chinese Language and Culture II,中英,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/ML002_0CCML0104830.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=9901185
7,ML001,語文課,基礎華語口語與表達(二),,語文選修,,否,3,周芷瑄,語文中心,(一) 02-04 LC201,50,0,3,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, oversea Chinese students and exchange students「本課程網路選課人數未達開課人數，請洽開課單位。」",Basic Chinese Spoken Language and Oral Expression II,中英,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/ML001_0CCML0104030.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=9901115
8,800L4,日外校碩士班,專案融資、採購、法律問題,,自由選修,,否,3,校際教師,,,20,0,1,限本班,Fachhochschule Dortmund,"Project Finance, Procurement, Legal Aspects",無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
9,800L3,日外校碩士班,管理數位化變革,,自由選修,,否,3,校際教師,,,20,0,1,限本班,Fachhochschule Dortmund,Managing Digital Change,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
10,800L2,日外校碩士班,多專案管理,,自由選修,,否,3,校際教師,,,20,0,1,限本班,Fachhochschule Dortmund,Multi-Project Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
11,800L1,日外校碩士班,數位轉型,,自由選修,,否,3,校際教師,,,20,0,1,限本班,Fachhochschule Dortmund,Digital Transformation,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
12,800K9,日外校碩士班,日本語 I,,自由選修,,否,1,校際教師,,,20,0,1,限本班,愛知教育大學,J Japanese I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
13,800K8,日外校碩士班,初等體育科教育內容B,,自由選修,,否,1,校際教師,,,20,0,1,限本班,愛知教育大學,Teaching Matters of Physical Education for Primary Education B,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
14,800K7,日外校碩士班,初等體育科教育法A,,自由選修,,否,2,校際教師,,,20,0,1,限本班,愛知教育大學,Teaching Methodologies of physical education for primary education A,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
15,800K6,日外校大學,醫療機電一體化,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,Medical Mechatronics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
16,800K5,日外校大學,進階日語5-VII-2,,自由選修,,否,0.5,校際教師,,,1,0,1,限本班,日本秋田大學,Advanced Japanese 5-VII-2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
17,800K4,日外校大學,進階日語5-VII-1,,自由選修,,否,0.5,校際教師,,,1,0,1,限本班,日本秋田大學,Advanced Japanese 5-VII-1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
18,800K3,日外校大學,進階日語5-III-2,,自由選修,,否,0.5,校際教師,,,1,0,1,限本班,日本秋田大學,Advanced Japanese 5-III-2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
19,800K2,日外校大學,進階日語5-III-1,,自由選修,,否,0.5,校際教師,,,1,0,1,限本班,日本秋田大學,Advanced Japanese 5-III-1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
20,800K1,日外校大學,中級日語4-I-2,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,Intermediate Japanese 4-I-2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
21,800J9,日外校大學,中級日語4-I-1,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,Intermediate Japanese 4-I-1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
22,800J8,日外校大學,中級日語4-III-2,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,Intermediate Japanese 4-III-2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
23,800J7,日外校大學,中級日語4-III-1,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,Intermediate Japanese 4-III-1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
24,800J6,日外校大學,體育(柔道),,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,Sport X(Judo),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
25,800J5,日外校大學,多元文化交流II,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,Invitation to Multicultural Communication II,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
26,800J4,日外校大學,多元文化交流I,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,Invitation to Multicultural Communication I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
27,800J3,日外校大學,日本文化概論II,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,An Introduction to Japanese Culture II,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
28,800J2,日外校大學,日本文化概論I,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,An Introduction to Japanese Culture I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
29,800J1,日外校大學,國際政治經濟學II,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,International Polotical Economy II,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
30,800I9,日外校大學,國際政治經濟學I,,自由選修,,否,1,校際教師,,,1,0,1,限本班,日本秋田大學,International Polotical Economy I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
31,800I8,日外校碩士班,健康教育論,,自由選修,,否,2,校際教師,,,20,0,1,限本班,愛知教育大學,S Health Education Theory,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
32,800I7,日外校碩士班,體育 I,,自由選修,,否,1,校際教師,,,20,0,1,限本班,愛知教育大學,Sp Sports I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
33,800I6,日外校碩士班,日本語 III,,自由選修,,否,1,校際教師,,,20,0,1,限本班,愛知教育大學,J Japanese III,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=2&emp_id=P000011
