序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
11,N1002,產業碩士班,半導體導論,,產業選修,,否,3,,白沙大樓,(二) 02-04 合班教室1,20,0,0,限本班,產業學院育才專班-矽品公司,Introduction to Semiconductor,無,,
12,N1001,產業學士班,半導體導論,,產業選修,,否,3,林得裕,教學一館,(二) 02-04 33201,50,0,0,限本班,產業學院育才專班-矽品公司,Introduction to Semiconductor,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/N1001_0OTIN0104430.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000717
13,MM403,語文課,初級實用生活華語(一),,語文選修,,否,3,湯家岳,語文中心,(四) 05-07 LC202,50,0,0,可跨班系,,Elementary Practical Chinese I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/MM403_0CCML0104530.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9901104
14,MM402,語文課,中級文學閱讀欣賞(一),,語文選修,,否,3,黃柔溱,語文中心,(四) 02-04 LC202,50,0,0,可跨班系,,Intermediate Appreciation and Practice of Literature I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/MM402_0CCML0109130.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9901052
15,MM401,語文課,基礎華語情境溝通(一),,語文選修,,否,3,黃柔溱,語文中心,(三) 02-04 LC202,50,0,0,可跨班系,,Chinese Communication in Context I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/MM401_0CCML0104330.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9901052
16,80001,日外校大學,薄膜製程,,自由選修,,否,3,校際教師,,,50,0,1,限本班,國立中興大學,Thin Film Processing,無,,
17,78060,公共事務夜碩二,論文,,系必修,,否,0,論文,,,30,0,15,限本系,,Thesis,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78060_1SPPCE146400.pdf,
18,78059,公育二,青少年發展與輔導,,系選修,,否,2,劉青峰,教學大樓,(五) 01-02 T204,50,1,12,限本系,,Adolescent Department and Counselling,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78059_1SPPC0157720.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001192
19,78058,公共事務夜碩一,科技與公民素養專題研究,,系選修,,否,2,鄭依萍,白沙大樓,(二) 10-13 公研C,30,0,18,限本系,單週二上課；第一次上課日期9/15,seminar: technology and civic literacy,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78058_1SPPCE160820.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001087
20,78057,公育碩一,歐洲治理專題研究,,系選修,,否,3,李其澤,白沙大樓,(三) 07-09 公研A,20,6,7,限本系,,The Issues of European Governance,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78057_1SPPC2154330.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000961
21,78056,公育碩二,論文,,系必修,,否,0,論文,,,20,0,10,限本系,,Thesis,無,,
22,78055,公育碩二,論文指導(一),,系必修,,否,3,論文,,,20,9,9,限本班,,Thesis Supervision I,無,,
23,78054,公育碩二,論文寫作方法,,系必修,,否,2,鄭依萍,白沙大樓,(一) 03-04 公研A,20,9,9,限本班,,Thesis writing up method,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78054_1SPPC2161020.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001087
24,78053,公育碩一,多元文化專題研究,,系選修,,否,3,洪翠娥,白沙大樓,(五) 05-07 公研A,20,10,10,限本系,,Seminar on Multiculturalism and Multiculturalism Policy,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78053_1SPPC2002430.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000623
25,78052,公育碩一,社會科學量化研究方法,,系必修,,否,3,張嘉仁,白沙大樓,(三) 02-04 公研A,20,12,12,限本班,,Quantitative Research Methods in the Social Sciences,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78052_1SPPC2009330.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001067
26,78050,公育碩一,公共事務專題研究,,系選修,,否,3,吳介英,白沙大樓,(二) 05-07 公研A,20,10,11,限本系,,Seminar on Public Affairs,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78050_1SPPC2002630.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9900825
27,78049,公育碩一,地方政府專題研究,,系選修,,否,2,李長晏,白沙大樓,(二) 03-04 公研A,20,8,9,限本系,,Seminar on Local Government,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78049_1SPPC2153620.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9900598
28,78048,公育四,政治經濟學,,系必修,,否,2,劉兆隆,教學大樓,(四) 05-06 T304,50,32,32,限本班,,Political Economy,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78048_1SPPC0030420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000819
29,78047,公育四,刑事訴訟法(一),,系選修,,否,2,劉青峰,教學大樓,(四) 07-08 T202,50,29,29,限本系,,Criminal Procedure Law I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78047_1SPPC0134920.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001192
30,78046,公育四,臺灣語言教育,,系選修,,否,2,黃建銘,教學大樓,(三) 07-08 T206,50,13,13,限本系,,Language Education in Taiwan,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78046_1SPPC0152220.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000906
31,78045,公育四,行政法(三),,組必修,,否,2,魏培軒,教學大樓,(三) 07-08 T303,50,25,25,限本班,,Administrative Law(3),中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78045_1SPPC0159820.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001117
32,78044,公育三,公民科教材教法,,組選修,,否,2,鄭依萍,教學大樓,(五) 05-06 T204,50,23,23,限本班,,Teaching Material and Method of Civic Courses,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78044_1SPPC0141220.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001087
33,78043,公育三,應用倫理學,,組必修,,否,2,洪翠娥,教學大樓,(五) 03-04 T204,50,36,36,限本班,,Applied  Ethics,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78043_1SPPC0132620.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000623
34,78042,公育三,刑法(一),,系必修,,否,2,劉青峰,教學大樓,(四) 05-06 T001,50,38,38,限本班,,Criminal Law(I),中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78042_1SPPC0131120.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001192
35,78041,公育三,多元文化通論,,組必修,,否,2,洪翠娥,教學大樓,(四) 03-04 T304,50,35,35,限本班,,An Introduction to Multiculturalism & Multicultural Education,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78041_1SPPC0132520.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000623
36,78040,公育三,個體經濟學,,組必修,,否,2,張嘉仁,教學大樓,(三) 07-08 T304,50,40,40,限本班,,Microeconomics,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78040_1SPPC0133420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001067
37,78039,公育三,政治社會學,,組必修,,否,2,劉兆隆,教學大樓,(三) 05-06 T305,50,29,29,限本班,,Political Sociology,中英,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78039_1SPPC0132020.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000819
38,78038,公育三,行政法(一),,系必修,,否,2,魏培軒,教學大樓,(三) 03-04 T304,50,45,45,限本系,,Administrative Law(1),中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78038_1SPPC0141020.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001117
39,78036,公育三,民主政治,,組必修,,否,2,李其澤,教學大樓,(二) 05-06 T304,50,25,25,限本班,,The politics of democracy,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78036_1SPPC0130820.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000961
40,78035,公育三,地方派系與地方選舉,,系選修,,否,2,林彣瑾,教學大樓,(二) 03-04 T204,50,18,18,限本系,,Local Faction &Local Election,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78035_1SPPC0135720.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9901032
41,78034,公育三,地方政府與政治,,組必修,,否,2,李長晏,教學大樓,(二) 01-02 T204,50,23,23,限本班,,Local Government and Politics,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78034_1SPPC0139420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9900598
42,78033,公育三,性別社會學,,組選修,,否,2,鄭依萍,教學大樓,(一) 05-06 T306,50,17,17,限本班,,Gender and sociology,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78033_1SPPC0157320.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001087
43,78032,公育二,童軍露營活動,,系選修,,否,4,劉恬妏,教學大樓,(六) 01-04 T101,50,1,7,可跨班系,,Scouting Camp Activities,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78032_1SPPC0156540.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9901054
44,78031,公育二,自然體驗,,系選修,,否,2,連怡斌,教學大樓,(五) 08-09 T204,50,2,12,可跨班系,,Nature Experience,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78031_1SPPC0156420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000474
45,78030,公育二,科技與公民素養,,組選修,,否,2,鄭依萍,教學大樓,(四) 07-08 T304,50,4,4,限本系,,technology and civic literacy,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78030_1SPPC0160920.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001087
46,78029,公育二,教育法規,,組必修,,否,2,魏培軒,教學大樓,(四) 03-04 T204,50,1,29,限本班,,Education Law,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78029_1SPPC0157020.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001117
47,78028,公育二,少年事件處理法,,組選修,,否,2,劉青峰,教學大樓,(三) 05-06 T304,50,32,32,可跨班系,,Juvenile Justice Law,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78028_1SPPC0162320.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001192
48,78027,公育二,公共政策(一),,組必修,,否,2,黃建銘,教學大樓,(三) 03-04 T204,50,1,23,限本班,,Public Policy (I),中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78027_1SPPC0030620.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000906
49,78026,公育二,服務學習活動設計與實施,,系選修,,否,2,梁峻晢,教學大樓,(二) 12-13 T204,50,1,8,可跨班系,,DESIGNING AND IMPLEMENTING OF SERVICE LEARNING,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78026_1SPPC0151320.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9900848
50,78025,公育二,社會科學研究法,,系必修,,否,2,鄭依萍,教學大樓,(二) 07-08 T204,50,1,39,限本班,,Social Science research methods,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78025_1SPPC0157220.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001087
51,78023,公育二,社會領域課程概論,,系選修,,否,2,鄭依萍,教學大樓,(一) 07-08 T204,50,1,30,限本系,,Introduction to Social Studies Curriculum,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78023_1SPPC0157420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001087
52,78022,公育二,租稅法,,組選修,,否,2,張嘉仁,教學大樓,(一) 05-06 T304,50,13,13,限本系,,Tax Law,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78022_1SPPC0152820.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001067
53,78021,公育二,人力資源管理,,組必修,,否,2,黃建銘,教學大樓,(一) 05-06 T204,50,1,24,限本班,,Human Resource Management,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78021_1SPPC0151620.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000906
54,78020,公育二,全球治理,,組必修,,否,2,李其澤,教學大樓,(一) 03-04 T304,50,1,21,限本班,,Global Governance,中英,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78020_1SPPC0001620.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000961
55,78019,公育一,中華民國憲法(一),,系必修,,否,2,魏培軒,教學大樓,(四) 07-08 T204,50,40,40,限本班,,The Constitution of R.O.C-Session I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78019_1SPPC0000620.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001117
56,78018,公育一,社會學(一),,系必修,,否,2,鄭依萍,教學大樓,(四) 05-06 T204,50,41,41,限本班,,Sociology(I),中英,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78018_1SPPC0001420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001087
57,78017,公育一,史學導論,,系選修,,否,2,李華彥,教學大樓,(四) 01-02 T204,50,8,23,限本系,,History Introduction,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78017_1SPPC0141520.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001191
58,78016,公育一,臺灣地理,,系選修,,否,2,郭基賢,教學大樓,(三) 07-08 T204,50,9,17,限本系,,Geography of Taiwan,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78016_1SPPC0146720.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9900852
59,78015,公育一,地理資訊系統,,系選修,,否,2,郭基賢,圖書館,(三) 05-06 電二教室,50,8,8,限本系,,Geographical Information System,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78015_1SPPC0142420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9900852
60,78014,公育一,經濟學(一),,系必修,,否,2,張嘉仁,教學大樓,(三) 05-06 T204,50,40,40,限本班,,Economics I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78014_1SPPC0000220.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001067
61,78013,公育一,臺灣史,,系選修,,否,2,李宗信,教學大樓,(三) 01-02 T204,50,10,34,限本系,,The History of Taiwan,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78013_1SPPC0146620.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001007
62,78012,公育一,政治學(一),,系必修,,否,2,劉兆隆,教學大樓,(二) 07-08 T101,50,42,42,限本班,,Politics I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78012_1SPPC0000820.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000819
63,78011,公育一,公民教育(一),,系必修,,否,2,劉雅倫,教學大樓,(二) 01-02 T304,50,42,42,限本班,,Civic Education-Session I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78011_1SPPC0001220.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=9901219
64,78010,公育一,兩岸關係,,系必修,,否,2,李其澤,教學大樓,(一) 07-08 T304,50,42,42,限本班,,Cross-Strait Relations,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78010_1SPPC0030520.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000961
65,78009,公育一,行政學(一),,系必修,,否,2,黃建銘,教學大樓,(一) 03-04 T204,50,42,42,限本班,,Public Administration I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78009_1SPPC0001020.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000906
66,78008,公共事務夜碩一,地方治理專題研究,,系選修,,否,2,劉兆隆,白沙大樓,(三) 10-13 公研C,30,0,19,限本系,單週三上課；第一次上課日期9/16,Seminar on Local governance studies,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78008_1SPPCE149020.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000819
67,78007,公共事務夜碩一,刑法專題研究,,系選修,,否,2,劉青峰,白沙大樓,(四) 10-13 公研C,30,0,20,限本系,雙週四上課；第一次上課日期9/24,Seminar on criminal law,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78007_1SPPCE158820.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001192
68,78006,公共事務夜碩一,公法案例專題研究,,系選修,,否,2,魏培軒,白沙大樓,(三) 10-13 公研C,30,0,24,限本系,雙週三上課；第一次上課日期9/23,Seminar on the classical cases of Public Law,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78006_1SPPCE161320.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001117
69,78005,公共事務夜碩一,人工智慧與全球秩序專題研究,,系選修,,否,2,李其澤,白沙大樓,(二) 10-13 公研C,30,0,10,限本系,雙週二上課；第一次上課日期9/22,A Special Study on Artificial Intelligence and Global Order,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78005_1SPPCE163720.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000961
70,78003,公共事務夜碩一,行政組織與管理專題研究,,系選修,,否,2,黃建銘,白沙大樓,(四) 10-13 公研C,30,0,21,限本系,單週四上課；第一次上課日期9/17,Seminar on Administrative Organization and Management,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78003_1SPPCE148620.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000906
71,78002,公共事務夜碩一,社會科學研究方法,,系必修,,否,2,張嘉仁,白沙大樓,(一) 10-13 公研C,30,0,12,限本班,單週一上課；第一次上課日期9/14,Research Methods in the Social Sciences,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78002_1SPPCE142520.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001067
72,78001,公育一,人工智慧及其應用,,校必(通識),,否,2,劉青峰,教學大樓,(三) 03-04 T103,50,0,43,限本班,大二~大四生如要修習，以線上加簽方式,Artificial Intelligence and Its Application,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/78001_0CCGE0181420.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001192
73,77008,運健碩二,論文,,系必修,,否,0,論文,,,30,5,5,限本系,,Thesis,無,,
74,77007,運健碩二,論文指導(一),,系必修,,否,3,論文,,,20,5,5,限本系,,Thesis Supervision I,無,,
75,77006,運健碩二,運動健康專題討論,,系必修,,否,1,江勁彥曾文培楊亮梅張家昌陳美華,進德體育館,(五) 09 體育教室二,20,5,5,限本系,,Seminar on Sports and Health,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/77006_1SPSH2113310.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0000690
