序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
1,N1012,產業碩士班,機器學習,,自由選修,,否,3,校際教師,,,10,1,1,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周三09:10-12:10同步考試時間期末考12/9主授教師：林軒田(臺灣大學),Machine Learning,無,,
2,N1011,產業碩士班,實體人工智慧,,自由選修,,是,3,周咏蒨,,,10,1,3,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周二 13:20-16:20上課地點：教學一館33204同步考試時間：無主授教師：陳奕廷(陽明交通大學),Physical AI,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001217
3,N1010,產業碩士班,自然語言處理,,自由選修,,否,3,校際教師,,,40,2,2,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周四09:00-12:00同步考試時間：2026/12/10 09:00-12:00主授教師：高宏宇(清華大學),Natural Language Processing,無,,
4,N1009,產業碩士班,智慧人機互動,,自由選修,,否,3,校際教師,,,30,1,1,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周四 13:10~16:00同步考試時間與聯盟學校於12/26(六)共同展示及交流（此外，為讓各校老師們與同學們有更多交流，也歡迎各種形式自由參加 12/26(六) 主導課程所舉辦之期末展)主授教師：韓秉軒(臺北科技大學),Human-AI Interaction,無,,
5,N1008,產業碩士班,金融科技導論,,自由選修,,否,3,校際教師,,,45,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周三 9:10-12:10同步考試時間12/23 9:10~12:10主授教師：張智星(臺灣大學),Introduction to FinTech,無,,
6,N1007,產業碩士班,資料探勘與應用,,自由選修,,是,3,校際教師,,,20,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周一 9:00-12:00同步考試時間2026/12/14主授教師：陳宜欣(清華大學),"Data Mining : Concepts, Techniques, and Applications",無,,
7,N1006,產業碩士班,生成式AI：文字與圖像生成的原理與實務,,自由選修,,否,3,陳怡汶,,,20,1,1,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周二16:00-19:00上課地點：電五教室同步考試時間12/22在 Gather.town線上研討會型式的期末專題成果分享(主導課程會以學生投稿、擇優方式參與，獲選同學參加期末專案分享，並有額外加分。)主授教師：蔡炎龍(政治大學),Generative AI：Text and Image Synthesis Principles and Pracice,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001128
8,N1005,產業學士班,統計學暨實習,,自由選修,,是,4,阮家慶,,,30,1,1,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周三 9:10-12:10 (正課)、每周二 13:20-15:10(非正式討論課)上課地點：電四教室同步考試時間：10/28期中考(9:30AM-12:00PM)、12/23期末考(9:30AM-12:00PM)主授教師：李宗穎(臺灣大學),Statistics with Recitation,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=4000045
9,N1004,產業學士班,人工智慧導論,,自由選修,,否,3,校際教師,,,50,1,2,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每周四 13:10-16:00同步考試時間2026年12月10日13:10~16:00 （所有學生需同步進行，在此時段無法應考的學生請勿修課）主授教師：朱威達(成功大學),Introduction to Artificial Intelligence,無,,
10,N1003,產業學士班,基礎程式設計(C++),,自由選修,,否,3,林杰,,,25,0,2,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週一 9:00-12:00上課地點：電四教室同步考試時間期中考11/02 與 期末考12/21 9:00-12:00，同學務必保留時間參與考試。主授教師：温宏斌(陽明交通大學),Introduction to Programming (C++),中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1151/N1003_1OTIN0103330.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=115&yms_sms=1&emp_id=0001201
