學年度,學期,分類,學制,cluster標籤,課程名稱,英文課程名稱,開課班別(代表),科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
112,2,專業課程,學士班,熱門課程,職場體驗(一),Workplace Experience I,企管三,企業管理學系,管理學院,3,朱志傑連怡斌,5,5,32405,0.683333333,1.073170732,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63023_1MABA0146430.pdf
112,2,專業課程,學士班,熱門課程,中小企業管理,Small and Medium Enterprises Management,企管三,企業管理學系,管理學院,3,林定樺,5,2,32212,0.34,0.941176471,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63021_1MABA0121830.pdf
112,2,專業課程,學士班,熱門課程,人力資源管理,Human Resource Management,企管三,企業管理學系,管理學院,3,朱志傑,4,5,211木昜講堂,1.04,1.115384615,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63020_1MABA0016930.pdf
112,2,專業課程,學士班,熱門課程,個人理財,Personal Finance,企管三,企業管理學系,管理學院,3,于雲真,3,5,34201,0.54,2.037037037,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63018_1MABA0122730.pdf
112,2,專業課程,學士班,一般課程,國際財務管理,International Financial Management,企管三,企業管理學系,管理學院,3,黃憲彰,2,6,32405,0.84,1.142857143,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63017_1MABA0005830.pdf
112,2,專業課程,學士班,熱門課程,國際企業管理,International Business Management,企管三,企業管理學系,管理學院,3,黃蘭鍈,2,2,32405,0.84,1.071428571,0,0,
112,2,專業課程,學士班,一般課程,策略管理,Strategic Management,企管三,企業管理學系,管理學院,3,張世其,1,5,33202,0.82,1.12195122,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63015_1MABA0012430.pdf
112,2,專業課程,學士班,熱門課程,商事法概論,Business Law,企管二,企業管理學系,管理學院,3,陳忠儀,5,5,32403,0.88,1.272727273,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63014_1MABA0016430.pdf
112,2,專業課程,學士班,熱門課程,商用日語(二),Business Japanese II,企管二,企業管理學系,管理學院,3,田和亞輝,5,2,32405,0.44,1.272727273,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63013_1MABA0143130.pdf
112,2,專業課程,學士班,熱門課程,廣告管理,Advertising Management,企管二,企業管理學系,管理學院,3,郭昭蘭,5,2,32403,0.5,1.04,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1122/63012_1MABA0009930.pdf
