序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
32,80018,日外校大學,保險法Insurance Law,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
33,80017,日外校大學,刑事訴訟法(一)Criminal Procedure Law (I),無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
34,80016,日外校大學,民法債編各論(一)Civil Laws: Contracts (I),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
35,80015,日外校大學,民事訴訟法(一)Civil Procedure Law (I),無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
36,80014,日外校大學,民事法實例研習(一)Seminar on Civil Law (I),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
37,80013,日外校大學,民法債編總論(一)Civil Law: General Principiples of Contracts and Torts (I,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
38,80012,日外校大學,民法物權(一)Civil Law: Property Right (I),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
39,80011,日外校大學,民法總則(一)Civil Law: General Principles (I),無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
40,80010,日外校碩士班,電腦輔助超大型積體電路設計Design of Computer Aided VLSI Circuit,無檔案No file,,自由選修,,否,3,校際教師,,,20,0,2,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
41,80009,日外校碩士班,數位矽智產設計導論Introduction to Digital Intellectual Property,無檔案No file,,自由選修,,否,3,校際教師,,,20,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
42,80008,日外校大學,家庭動力Family Dynamic,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,東海大學「本課程網路選課人數未達開課人數，請洽開課單位。」
43,80007,日外校大學,質性研究Qualitative Research,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,國立臺中教育大學「本課程網路選課人數未達開課人數，請洽開課單位。」
44,80006,日外校博士班,中國神話專題Topics in Chinese Mythology,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,東海大學
45,80005,日外校大學,游泳(一)Swimming I,無檔案No file,,自由選修,,否,1,校際教師,,,50,0,1,限本班,國立臺灣體育運動大學「本課程網路選課人數未達開課人數，請洽開課單位。」
46,80004,日外校大學,危機處遇Crisis Intervention,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,台中教育大學「本課程網路選課人數未達開課人數，請洽開課單位。」
47,80003,日外校大學,音樂治療理論基礎與應用Pinciples and Applications for Music Therapy,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,東海大學「本課程網路選課人數未達開課人數，請洽開課單位。」
48,80002,日外校大學,流體力學Fluid Mechanics,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,國立宜蘭大學「本課程網路選課人數未達開課人數，請洽開課單位。」
49,80001,日外校大學,中國思想史(一)History of Chinese Thought(I),無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,元智大學「本課程網路選課人數未達開課人數，請洽開課單位。」
50,78059,公共事務夜碩一,漢字圈文字政策專題研究Seminar on Writing-system Policies in Chinese Character Circle,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78059_1SPPCE153420.pdf,系選修,,否,2,黃建銘,白沙大樓,(三) 10-13 公研C,30,0,21,限本系,單週三上課；第一次上課日期9/10
51,78058,公共事務夜碩一,兩岸關係專題研究Special Topic on Cross-Strait Relations,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78058_1SPPCE143420.pdf,系選修,,否,2,李其澤,白沙大樓,(二) 10-13 公研C,30,0,24,限本系,雙週二上課；第一次上課日期9/16
52,78057,公共事務夜碩二,論文Thesis,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78057_1SPPCE146400.pdf,系必修,,否,0,論文,,,30,0,18,限本系,
53,78056,公共事務夜碩一,行政法專題研究Seminar on Administrative Law,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78056_1SPPCE147420.pdf,系選修,,否,2,魏培軒,白沙大樓,(四) 10-13 公研C,30,0,25,限本系,單週四上課；第一次上課日期9/11
54,78055,公共事務夜碩一,民法專題研究Seminar on Civil Law,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78055_1SPPCE145020.pdf,系選修,,否,2,林玫君,白沙大樓,(三) 10-13 公研C,30,0,28,限本系,雙週三上課；第一次上課日期9/17
55,78052,公共事務夜碩一,社會科學研究方法Research Methods in the Social Sciences,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78052_1SPPCE142520.pdf,系必修,,否,2,張嘉仁,白沙大樓,(二) 10-13 公研C,30,0,12,限本系,單週二上課；第一次上課日期9/9
56,78051,公共事務夜碩一,公共關係危機處理專題研究Seminar on Public Relations and Crisis Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78051_1SPPCE158620.pdf,系選修,,否,2,劉兆隆,白沙大樓,(一) 10-13 公研C,30,0,23,限本系,單週一上課；第一次上課日期9/8
57,78050,公育碩二,論文Thesis,無檔案No file,,系必修,,否,0,論文,,,20,7,22,限本系,
58,78049,公育碩二,論文指導(一)Thesis Supervision I,無檔案No file,,系必修,,否,3,論文,,,20,1,15,限本系,
59,78048,公育碩二,論文寫作方法Thesis writing up method,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78048_1SPPC2161020.pdf,系必修,,否,2,魏培軒,白沙大樓,(四) 05-06 公研A,20,5,9,限本班,
60,78047,公育碩一,多元文化專題研究Seminar on Multiculturalism and Multiculturalism Policy,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78047_1SPPC2002430.pdf,系選修,,否,3,洪翠娥,白沙大樓,(五) 05-07 公研A,20,7,8,限本系,
61,78046,公育碩一,兩岸關係專題研究Seminar on Cross-Strait Relations,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78046_1SPPC2005730.pdf,系選修,,否,3,李其澤,白沙大樓,(三) 07-09 公研A,20,6,7,限本系,
62,78045,公育碩一,公共事務專題研究Seminar on Public Affairs,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78045_1SPPC2002630.pdf,系選修,,否,3,吳介英,白沙大樓,(二) 05-07 公研A,20,7,8,限本系,
63,78044,公育碩一,地方政府專題研究Seminar on Local Government,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78044_1SPPC2153620.pdf,系選修,,否,2,李長晏,白沙大樓,(二) 03-04 公研A,20,7,11,限本系,
64,78043,公育碩一,社會科學量化研究方法Quantitative Research Methods in the Social Sciences,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78043_1SPPC2009330.pdf,系必修,,否,3,張嘉仁,白沙大樓,(一) 06-08 公研A,20,10,11,限本系,
65,78042,公育四,臺灣語言教育Language Education in Taiwan,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78042_1SPPC0152220.pdf,系選修,,否,2,黃建銘,教學大樓,(四) 07-08 T202,50,11,10,限本系,
66,78041,公育四,政治經濟學Political Economy,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78041_1SPPC0030420.pdf,系必修,,否,2,劉兆隆,教學大樓,(四) 03-04 T102,50,34,40,限本班,
67,78040,公育四,行政法(三)Administrative Law(3),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78040_1SPPC0159820.pdf,組必修,,否,2,魏培軒,教學大樓,(三) 07-08 T102,50,20,23,限本班,
68,78039,公育四,刑事訴訟法(一)Criminal Procedure Law I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78039_1SPPC0134920.pdf,系選修,,否,2,劉青峰,教學大樓,(三) 03-04 T205,50,1,21,可跨班系,
69,78038,公育三,公民科教材教法Teaching Material and Method of Civic Courses,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78038_1SPPC0141220.pdf,組選修,,否,2,鄭依萍,白沙大樓,(五) 05-06 公研C,50,12,27,限本班,
70,78037,公育三,應用倫理學Applied  Ethics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78037_1SPPC0132620.pdf,組必修,,否,2,洪翠娥,教學大樓,(五) 03-04 T204,50,0,36,可跨班系,
71,78036,公育三,刑法(一)Criminal Law(I),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78036_1SPPC0131120.pdf,系必修,,否,2,劉青峰,教學大樓,(四) 07-08 T105,70,2,61,可跨班系,
72,78035,公育三,刑法實例研習Seminar on Criminal Law,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78035_1SPPC0160220.pdf,系選修,,否,2,劉青峰,教學大樓,(四) 05-06 T204,50,15,26,可跨班系,
73,78034,公育三,多元文化通論An Introduction to Multiculturalism & Multicultural Education,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78034_1SPPC0132520.pdf,組必修,,否,2,洪翠娥,教學大樓,(四) 03-04 T204,50,1,30,可跨班系,
74,78033,公育三,政治社會學Political Sociology,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78033_1SPPC0132020.pdf,組必修,,否,2,劉兆隆,教學大樓,(三) 07-08 T101,50,2,34,限本班,
75,78032,公育三,個體經濟學Microeconomics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78032_1SPPC0133420.pdf,組必修,,否,2,張嘉仁,教學大樓,(三) 05-06 T304,50,1,26,限本班,
76,78031,公育三,行政法(一)Administrative Law(1),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78031_1SPPC0141020.pdf,系必修,,否,2,魏培軒,教學大樓,(三) 03-04 T204,50,2,44,限本班,
77,78030,公育三,民法(三)Civil Law(III),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78030_1SPPC0159920.pdf,組必修,,否,2,林玫君,教學大樓,(二) 07-08 T304,50,27,25,限本班,
78,78029,公育三,民主政治The politics of democracy,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78029_1SPPC0130820.pdf,組必修,,否,2,李其澤,教學大樓,(二) 05-06 T101,50,15,19,限本班,
79,78028,公育三,地方派系與地方選舉Local Faction &Local Election,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78028_1SPPC0135720.pdf,系選修,,否,2,林彣瑾,教學大樓,(二) 03-04 T204,50,15,19,可跨班系,
80,78027,公育三,地方政府與政治Local Government and Politics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78027_1SPPC0139420.pdf,組必修,,否,2,李長晏,教學大樓,(二) 01-02 T204,50,0,23,限本班,
81,78026,公育三,性別社會學Gender and sociology,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78026_1SPPC0157320.pdf,組選修,,否,2,鄭依萍,教學大樓,(一) 05-06 T204,50,13,21,限本班,
82,78024,公育二,童軍團實務Practices of Scout Troops,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78024_1SPPC0151420.pdf,系選修,,否,2,劉恬妏,教學大樓,(六) 01-02 T101,50,2,9,可跨班系,
83,78023,公育二,科技與公民素養technology and civic literacy,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78023_1SPPC0160920.pdf,組選修,,否,2,鄭依萍,教學大樓,(四) 07-08 T303,50,24,17,限本系,
84,78022,公育二,教育法規Education Law,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78022_1SPPC0157020.pdf,組必修,,否,2,魏培軒,教學大樓,(四) 03-04 T002,50,35,46,限本班,
85,78021,公育二,少年事件處理法Juvenile Justice Law,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78021_1SPPC0162320.pdf,組選修,,否,2,劉青峰,教學大樓,(三) 05-06 T103,90,48,73,可跨班系,
86,78020,公育二,租稅法Tax Law,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78020_1SPPC0152820.pdf,組選修,,否,2,張嘉仁,教學大樓,(四) 07-08 T001,50,4,22,可跨班系,
87,78019,公育二,公共政策(一)Public Policy (I),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78019_1SPPC0030620.pdf,組必修,,否,2,黃建銘,教學大樓,(三) 03-04 T001,50,29,38,限本班,
88,78018,公育二,社會科學研究法Social Science research methods,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78018_1SPPC0157220.pdf,系必修,,否,2,鄭依萍,教學大樓,(二) 07-08 T204,50,49,52,限本班,
89,78017,公育二,民法(一)Civil Law(I),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78017_1SPPC0030320.pdf,系必修,,否,2,林玫君,教學大樓,(二) 05-06 T004,50,48,62,限本班,
90,78016,公育二,社會領域課程概論Introduction to Social Studies Curriculum,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78016_1SPPC0157420.pdf,系選修,,否,2,鄭依萍,教學大樓,(一) 07-08 T204,50,32,40,限本系,
91,78015,公育二,人力資源管理Human Resource Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78015_1SPPC0151620.pdf,組必修,,否,2,黃建銘,教學大樓,(一) 05-06 T304,50,32,43,限本班,
92,78014,公育二,全球治理Global Governance,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78014_1SPPC0001620.pdf,組必修,,否,2,李其澤,教學大樓,(一) 03-04 T204,50,26,26,限本班,
93,78013,公育一,中華民國憲法(一)The Constitution of R.O.C-Session I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78013_1SPPC0000620.pdf,系必修,,否,2,魏培軒,教學大樓,(四) 07-08 T006,50,38,61,限本班,
94,78012,公育一,社會學(一)Sociology(I),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78012_1SPPC0001420.pdf,系必修,,否,2,鄭依萍,教學大樓,(四) 05-06 T002,50,38,67,限本班,
95,78011,公育一,史學導論History Introduction,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78011_1SPPC0141520.pdf,系選修,,否,2,李華彥,教學大樓,(三) 01-02 T304,50,19,38,可跨班系,
96,78010,公育一,臺灣史The History of Taiwan,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78010_1SPPC0146620.pdf,系選修,,否,2,李宗信,教學大樓,(四) 01-02 T304,50,19,22,可跨班系,
97,78009,公育一,家政教育概論Introduction of Home Economics Education,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78009_1SPPC0157620.pdf,系選修,,否,2,陳美娟,教學大樓,(三) 10-11 T204,50,11,27,可跨班系,
98,78008,公育一,經濟學(一)Economics I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78008_1SPPC0000220.pdf,系必修,,否,2,張嘉仁,教學大樓,(三) 07-08 T302,50,38,59,限本班,
99,78007,公育一,臺灣地理Geography of Taiwan,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78007_1SPPC0146720.pdf,系選修,,否,2,郭基賢,教學大樓,(一) 03-04 T001,50,3,29,可跨班系,
100,78006,公育一,地理資訊系統Geographical Information System,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78006_1SPPC0142420.pdf,系選修,,否,2,郭基賢,圖書館,(三) 05-06 電二教室,50,12,26,可跨班系,
101,78005,公育一,政治學(一)Politics I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78005_1SPPC0000820.pdf,系必修,,否,2,劉兆隆,教學大樓,(二) 05-06 T304,50,38,53,限本班,
102,78004,公育一,公民教育(一)Civic Education-Session I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78004_1SPPC0001220.pdf,系必修,,否,2,劉雅倫,教學大樓,(二) 01-02 T105,50,38,69,限本班,
103,78003,公育一,兩岸關係Cross-Strait Relations,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78003_1SPPC0030520.pdf,系必修,,否,2,李其澤,教學大樓,(一) 07-08 T304,50,38,43,限本班,
104,78002,公育一,行政學(一)Public Administration I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78002_1SPPC0001020.pdf,系必修,,否,2,黃建銘,教學大樓,(一) 03-04 T304,50,37,48,限本班,
105,78001,公育一,生命探索發展與實踐Enlightening and Practicing of Careerlife,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/78001_0CCGE0177920.pdf,校必(通識),,否,2,林玫君,教學大樓,(三) 03-04 T304,50,0,42,限本班,大二~大四生如要修習，以線上加簽方式
106,77008,運健碩二,論文Thesis,無檔案No file,,系必修,,否,0,論文,,,20,4,15,限本系,
107,77007,運健碩二,論文指導(一)Thesis Supervision I,無檔案No file,,系必修,,否,3,論文,,,20,4,6,限本系,
