序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
1,N1013,產業學士班,基礎程式設計(C++)Introduction to Programming (C++),中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/N1013_1OTIN0103330.pdf,自由選修,,否,3,黃駿賢,,,25,4,10,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週一 9:00-12:00上課地點：經世館32101同步考試時間期中考10/20 與 期末考12/15 9:00-12:00，同學務必保留時間參與考試。主授教師：温宏斌(陽明交通大學)
2,N1012,產業碩士班,生成式AI：文字與圖像生成的原理與實務Generative AI：Text and Image Synthesis Principles and Pracice,無檔案No file,,自由選修,,否,3,周咏蒨,,,20,4,5,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週二 16:00-19:00上課地點：電五教室主授教師：蔡炎龍(政治大學)
3,N1011,產業碩士班,電腦視覺實務與深度學習Computer Vision Practice with Deep Learning,無檔案No file,,自由選修,,否,3,黃耀賢,,,50,1,3,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週五 9:10-12:10上課地點：經世館32101主授教師：鄭文皇(臺灣大學)
4,N1010,產業學士班,生成式人工智慧與機器學習導論Introduction to Generative Artificial Intelligence and Machine Learning,無檔案No file,,自由選修,,否,3,校際教師,,,20,9,15,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：9/12、9/19、9/26、10/17、10/24、10/31、11/14、11/28、12/12、12/19 14:20-17:20主授教師：李宏毅(臺灣大學)
5,N1009,產業學士班,人工智慧導論Introduction to Artificial Intelligence,無檔案No file,,自由選修,,否,3,校際教師,,,50,1,2,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週四 13:10-16:00同步考試時間(電一教室)12/11 13:10-16:00(此時段無法應考的學生請勿修課)主授教師：朱威達(成功大學)「本課程網路選課人數未達開課人數，請洽開課單位。」
6,N1007,產業碩士班,自然語言處理Natural Language Processing,無檔案No file,,自由選修,,否,3,校際教師,,,50,1,3,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週二13:20-15:10 & 每週四13:20-14:10主授教師：高宏宇(清華大學)
7,N1006,產業碩士班,智慧人機互動Human-AI Interaction,無檔案No file,,自由選修,,否,3,校際教師,,,50,1,1,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週四 13:10-16:00同步考試時間12/27(六)共同展示交流期末成果主授教師：韓秉軒(臺北科技大學)「本課程網路選課人數未達開課人數，請洽開課單位。」
8,N1005,產業碩士班,"資料探勘與應用Data Mining : Concepts, Techniques, and Applications",無檔案No file,,自由選修,,是,3,校際教師,,,50,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週一 9:00-12:00同步考試時間(電四教室)12/8 9:00-12:00(此時段無法應考的學生請勿修課)主授教師：陳宜欣(清華大學)「本課程網路選課人數未達開課人數，請洽開課單位。」
9,N1004,產業碩士班,品質管理概論Introduction to Quality Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/N1004_0OTIN2100630.pdf,產業選修,,否,3,羅志成,白沙大樓,(四) 05-07 合班教室1,20,0,2,限本班,產業學院育才專班-矽品公司「本課程網路選課人數未達開課人數，請洽開課單位。」
10,N1003,產業學士班,品質管理概論Introduction to Quality Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/N1003_0OTIN0100530.pdf,產業選修,,否,3,羅志成,圖書館,(四) 05-07 電四教室,50,0,3,限本班,產業學院育才專班-矽品公司「本課程網路選課人數未達開課人數，請洽開課單位。」
11,N1002,產業碩士班,半導體物理導論Introduction to Semiconductor Physics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/N1002_0OTIN2101230.pdf,產業選修,,否,3,林祐仲,白沙大樓,(二) 05-07 合班教室1,20,0,8,限本班,產業學院育才專班-矽品公司
12,N1001,產業學士班,半導體物理導論Introduction to Semiconductor Physics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/N1001_0OTIN0101130.pdf,產業選修,,否,3,林祐仲,教學大樓,(二) 05-07 T102,50,0,3,限本班,產業學院育才專班-矽品公司「本課程網路選課人數未達開課人數，請洽開課單位。」
13,MM403,語文課,中級時事華語(一)Intermediate Current Affairs in Chinese I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/MM403_0CCML0107930.pdf,語文選修,,否,3,黃柔溱,語文中心,(四) 02-04 LC202,50,0,25,可跨班系,
14,MM402,語文課,初級閱讀與寫作(一)Elementary Chinese Reading and Writing I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/MM402_0CCML0105330.pdf,語文選修,,否,3,劉培伃,語文中心,(四) 06-08 LC202,50,0,10,可跨班系,
15,MM401,語文課,基礎中文讀寫(一)Basic Chinese reading and writing I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1141/MM401_0CCML0108930.pdf,語文選修,,否,3,黃柔溱,語文中心,(二) 02-04 LC202,50,0,6,可跨班系,「本課程網路選課人數未達開課人數，請洽開課單位。」
16,80034,日外校大學,心理衛生與精神醫療社會工作Psychiatric Social Work,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,中山醫學大學
17,80033,日外校大學,醫療社會工作Medical Social Work,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,東海大學
18,80032,日外校大學,新生專題:設計人生Freshmen Project:Design your life,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,9,限本班,【NTU COOL平台】通識教育數位典範課程。認抵課程：生命探索發展與實踐，必修通識
19,80031,日外校大學,圖像中的藝術與文化The Arts and Culture of Visual Images,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,19,限本班,【NTU COOL平台】IGER跨校通識。認抵課程：從繪畫看台灣歷史，素養通識-文化美學與文明。
20,80030,日外校大學,創意學經濟Creative Essentials of  Economics,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,11,限本班,【ewant育網】跨校通識數位課程。認抵課程：經濟與生活。跨學院通識(社體)。社科體院學生修習不能認證為通識學分
21,80029,日外校大學,易數邏輯I - Number Logic,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,16,限本班,【ewant育網】跨校通識數位課程。認抵課程：占卜哲學與應用。素養通識—生活藝能及應用
22,80028,日外校大學,人際關係與社會互動Interpersonal relations and social interaction,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,17,限本班,【ewant育網】跨校通識數位課程。認抵課程：人際關係與溝通技巧。跨學院通識(教)。教育學院學生修習不能認證為通識學分
23,80027,日外校大學,職場溝通微功夫Communication Soft Power at Workplace,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,11,限本班,【ewant育網】跨校通識數位課程。認抵課程：領導與團隊管理。跨學院通識(科技)。科技學院學生修習不能認證為通識學分
24,80026,日外校大學,分子生物學Molecular Biology,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
25,80025,日外校大學,分科/分領域(學群)教材教法Subject/Field-Specific Teaching Method,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,暨南國際大學「本課程網路選課人數未達開課人數，請洽開課單位。」
26,80024,日外校大學,社會心理學Social Psychology,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,2,限本班,靜宜大學「本課程網路選課人數未達開課人數，請洽開課單位。」
27,80023,日外校大學,微積分(二)Calculus II,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,勤益科技大學「本課程網路選課人數未達開課人數，請洽開課單位。」
28,80022,日外校大學,國學導讀(一)Introduction to Sinology(1),無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,國立中正大學「本課程網路選課人數未達開課人數，請洽開課單位。」
29,80021,日外校大學,中國社會史Chinese Social History,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,2,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
30,80020,日外校大學,刑事訴訟法實例研習Case Study of Criminal Procedure,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
31,80019,日外校大學,著作權法Copyright Law,無檔案No file,,自由選修,,否,2,校際教師,,,50,0,1,限本班,中興大學「本課程網路選課人數未達開課人數，請洽開課單位。」
