序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
1,N1010,產業碩士班,深度學習Deep Learning,無檔案No file,,自由選修,,否,3,校際教師,,,25,0,2,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課位置)上課時間：每週四 12:20-15:10 同步期末考試:5/29 12:20-15:10主授教師:彭文孝、陳永昇、謝秉均(陽明交通大學)
2,N1009,產業碩士班,機器導航與探索Robotic Navigation and Exploration,無檔案No file,,自由選修,,否,3,周咏蒨,,,40,0,4,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週一晚上6:30~9:20上課地點：工學院EB211主授教師:胡敏君(清華大學)
3,N1008,產業碩士班,生成式AI：文字與圖像生成的原理與實務Generative AI：Text and Image Synthesis Principles and Pracice,無檔案No file,,自由選修,,否,3,劉儼毅,,,20,3,8,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週二 16:00-19:00上課地點：電五教室主授教師:蔡炎龍(政治大學)
4,N1006,產業學士班,機率與統計Probability and Statistics,無檔案No file,,自由選修,,否,3,校際教師,,,50,4,5,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課位置)上課時間：同步上課時間2/20 20:00-22:003/6、3/20、4/10、5/1、5/15、6/5 20:00-21:00同步考試時間(電五教室)4/17、6/12 14:30-17:30主授教師:葉丙成(臺灣大學)
5,N1005,產業學士班,人工智慧倫理AI Ethics,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1005_1OTIN0102530.pdf,自由選修,,否,3,王朝興,,,47,3,28,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週三 15:20-18:10 (同步考試時間:4/16)上課地點：教學一館33204主授教師：甘偵蓉(東海大學)
6,N1004,產業碩士班,問題決策概論Introduction to Problem Solving and Decision Making,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1004_0OTIN2100830.pdf,產業選修,,否,3,羅志成,白沙大樓,(四) 10-12 合班教室4,20,0,4,限本班,產業學院育才專班-矽品公司-大碩合班。「本課程網路選課人數未達開課人數，請洽開課單位。」
7,N1003,產業學士班,問題決策概論Introduction to Problem Solving and Decision Making,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1003_0OTIN0100730.pdf,產業選修,,否,3,羅志成,教學大樓,(四) 10-12 T302,50,0,3,限本班,產業學院育才專班-矽品公司-大碩合班。「本課程網路選課人數未達開課人數，請洽開課單位。」
8,N1002,產業碩士班,半導體產業實務Semiconductor Industry Practice,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1002_0OTIN2101030.pdf,產業必修,,否,3,林祐仲,白沙大樓,(五) 02-04 合班教室4,20,0,13,限本班,產業學院育才專班-矽品公司-大碩合班。
9,N1001,產業學士班,半導體產業實務Semiconductor Industry Practice,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/N1001_0OTIN0100930.pdf,產業必修,,否,3,林祐仲,教學大樓,(五) 02-04 T302,50,0,12,限本班,產業學院育才專班-矽品公司-大碩合班。
10,ML003,語文課,中級文學閱讀欣賞(二)Intermediate Appreciation and Practice of Literature II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1132/ML003_0CCML0109230.pdf,語文選修,,否,3,劉培伃,語文中心,(二) 06-08 LC202,50,0,19,可跨班系,Only for international students. Please visit the website to know more. http://lcch.ncue.edu.tw/curriculum_credit?lang=en
