序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
398,62051,會三乙,內部控制與稽核Internal Control and Auditing,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62051_1MAAC0140830.pdf,系選修,,否,3,林玉君,經世館,(四) 02-04 32105-二館,50,48,44,限本系,
399,62050,會二乙,中級會計專題(二)Seminar on Intermediate Accounting II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62050_1MAAC0140020.pdf,系選修,,否,2,陳瑞斌,教學一館,(二) 06-07 33102,50,44,52,限本系,
400,62049,會三甲,創業管理Entrepreneurship Management,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62049_1MAAC0157130.pdf,系選修,,否,3,林宜君,經世館,(四) 02-04 32603,50,10,14,限本系,
401,62048,會二甲,中級會計學實習(二)Intermediate Accounting Practice II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62048_1MAAC0010200.pdf,系必修,,否,0,林美鳳,教學一館,(四) 08-09 33102,50,38,41,限本班,
402,62047,會二乙,基礎日文Elementary Japanese,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62047_1MAAC0157530.pdf,系選修,,否,3,林正成,經世館,(四) 05-07 32603,50,48,50,限本系,
403,62046,會一乙,會計學實習(二)Accounting Practice II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62046_1MAAC0010500.pdf,系必修,,否,0,方俊儒,教學一館,(四) 08-09 33403,50,41,44,限本班,
404,62045,會一乙,管理學Introduction of Management,無檔案Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62045_1MAAC0146130_EN.pdf,系必修,,是,3,林宜君,教學一館,(四) 05-07 33403,50,40,42,限本班,
405,62044,會一甲,商用數學Business Mathematics,無檔案Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62044_1MAAC0146030_EN.pdf,系必修,,是,3,李桓伊,教學一館,(四) 05-07 33102,50,42,47,限本班,
406,62043,會碩二甲,企業預算與制度Budget and System of   Business,無檔案Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62043_1MAAC2007230_EN.pdf,系選修,,是,3,湯玉珍,經世館,(三) 02-04 32309-1,30,17,7,限本系,
407,62042,會碩二乙,專題研討(四)Seminar on Research Topics IV,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62042_1MAAC2154710.pdf,系必修,,否,1,陳皆碩,經世館,(三) 08 32309教室,30,20,21,限本班,
408,62041,會碩二甲,專題研討(四)Seminar on Research Topics IV,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62041_1MAAC2154710.pdf,系必修,,否,1,鄭國枝,經世館,(三) 07 32309教室,30,17,25,限本班,
409,62040,會碩一乙,專題研討(二)Seminar on Research Topics II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62040_1MAAC2154510.pdf,系必修,,否,1,鄭國枝,經世館,(三) 06 32309教室,30,17,17,限本班,
410,62039,會碩一甲,專題研討(二)Seminar on Research Topics II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/62039_1MAAC2154510.pdf,系必修,,否,1,鄭國枝,經世館,(三) 05 32309教室,30,18,20,限本班,
