序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
1,ML005,語文課,基礎華語情境溝通(一)Chinese Communication in Context I,中文下載Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML005_0CCML0104330.pdf,語文選修,,否,3,黃柔溱,語文中心,(三) 05-07 LC202,50,0,6,可跨班系,Only for international students「本課程網路選課人數未達開課人數，請洽開課單位。」
2,ML004,語文課,基礎實用生活華語(一)Basic Practical Chinese I,中文下載Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML004_0CCML0104130.pdf,語文選修,,否,3,黃柔溱,語文中心,(三) 02-04 LC202,50,0,7,可跨班系,Only for international students「本課程網路選課人數未達開課人數，請洽開課單位。」
3,ML003,語文課,中級華語語法(一)Intermediate Chinese Grammar I,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML003_0CCML0108330.pdf,語文選修,,否,3,黃柔溱,語文中心,(五) 05-07 LC202,50,0,7,可跨班系,Only for international students「本課程網路選課人數未達開課人數，請洽開課單位。」
4,ML002,語文課,初級旅遊華語(一)Elementary Travel Chinese I,中文下載Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML002_0CCML0104930.pdf,語文選修,,否,3,劉培伃,語文中心,(三) 02-04 LC201,50,0,2,可跨班系,Only for international students「本課程網路選課人數未達開課人數，請洽開課單位。」
5,ML001,語文課,基礎華語口語與表達(一)Basic Chinese Spoken Language and Oral Expression I,中文下載Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML001_0CCML0103930.pdf,語文選修,,否,3,周芷瑄,語文中心,(一) 02-04 LC201,50,0,7,可跨班系,Only for international students「本課程網路選課人數未達開課人數，請洽開課單位。」
6,800B9,日外校大學,初級韓語Beginning Korean Language,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
7,800B8,日外校大學,透過電影學英文English through Film,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
8,800B7,日外校大學,韓國大眾媒體與流行文化Mass Media and Popular Culture in Korea,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,韓國-首爾市立大學
9,800B6,日外校大學,中級韓語 1Intermediate Korean Language 1,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,韓國-首爾市立大學
10,800B5,日外校大學,實用韓語 2Practical Korean Language 2,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,韓國-首爾市立大學
11,800B4,日外校大學,實用韓語 1Practical Korean Language 1,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,韓國-首爾市立大學
12,800B3,日外校大學,法文文法課Grammar A2,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,法國-東方語言學校
13,800B2,日外校大學,語言與文化Language and Society,無檔案No file,,自由選修,,否,2,校際教師,,,1,0,1,限本班,法國-東方語言學校
